Dataset,City,Model,MAE,MSE,RMSE,R2
Kupno (Sale),Szczecin,SVR,131274.0698200623,29782214684.174614,172575.24354372098,-0.02732046297172608
Kupno (Sale),Warszawa,Linear Regression,173549.012594306,57150253981.30531,239061.19296386294,0.7269651474938597
Kupno (Sale),Warszawa,Random Forest,55467.05933298119,11030499433.542501,105026.18451387492,0.9473018827371875
Kupno (Sale),Warszawa,Gradient Boosting,141661.2095469837,40149085941.77374,200372.36820922626,0.8081880832593603
Kupno (Sale),Warszawa,KNN,90098.23144303798,21659559631.49209,147171.8710606483,0.8965216380093973
Kupno (Sale),Warszawa,SVR,320226.8433109282,228111548433.98367,477610.2474130802,-0.08980098324661001
Kupno (Sale),Wroclaw,Linear Regression,110882.57089126762,22531093581.184093,150103.60948752728,0.5683403382382478
Kupno (Sale),Wroclaw,Random Forest,36748.8145100884,4619334375.99543,67965.68528305611,0.9115009528000979
Kupno (Sale),Wroclaw,Gradient Boosting,95554.13250620772,16784664755.165098,129555.64347092371,0.6784327096732867
Kupno (Sale),Wroclaw,KNN,62561.276633663365,10456096865.982159,102255.0578992656,0.799677933063701
Kupno (Sale),Wroclaw,SVR,167887.59515794567,54277468322.99038,232975.25259776064,-0.03986934913591278
Wynajem (Rent),Bialystok,Linear Regression,375.057505919807,226763.2401462875,476.1966402089451,0.3257661701585093
Wynajem (Rent),Bialystok,Random Forest,241.08371006014187,128281.45531920734,358.16400617483515,0.6185814911547725
Wynajem (Rent),Bialystok,Gradient Boosting,263.07553724945996,144658.90805874023,380.34051593110644,0.56988650568667
Wynajem (Rent),Bialystok,KNN,306.5863636363636,211272.97818181815,459.6444040579828,0.3718232764285315
Wynajem (Rent),Bialystok,SVR,469.22362796404195,354164.5318011809,595.1172420634281,-0.05303535315637031
Wynajem (Rent),Bydgoszcz,Linear Regression,370.53936581683126,229298.1215604022,478.8508343528308,0.5207887474015953
Wynajem (Rent),Bydgoszcz,Random Forest,176.20376715887093,84246.8814558533,290.2531334126357,0.8239320352245717
Wynajem (Rent),Bydgoszcz,Gradient Boosting,257.82664558545673,122378.6293211531,349.8265703475839,0.7442403110449504
Wynajem (Rent),Bydgoszcz,KNN,260.42432432432435,144224.96459459458,379.7696204208475,0.6985835493592127
Wynajem (Rent),Bydgoszcz,SVR,493.2140798610275,467772.1365509046,683.9386935617143,0.02240075077046877
Wynajem (Rent),Czestochowa,Linear Regression,325.55563756741566,158650.366480519,398.3093853784003,0.5602395543733629
